sentence,intent,,,,
"10분마다 연락을 해봤지. 근데 아직도 이녀석, 온다고만 하지 오질 않고 있어.",0,,,,
1시간 넘게 기다렸는데 친구가 안 와 너무 화가 나.,0,,,,
1시간은 넘은 것 같아 왜 안 오는지 조금은 걱정이 되네.,0,,,,
1층에서 4층 올라갈려고 엘리베이터 탔는데 갇혔어.,0,,,,
1학년 때 동아리에서 만났었었지.,0,,,,
"200만 원 짜리 노트북을 구매했는데, 정말 기분이 좋아.",0,,,,
200만원짜리 노트북을 구입했는데 늦게 와서 걱정하고 있었어. 오늘 도착해서 너무 기뻐.,0,,,,
2개월 정도 됐는데 아직도 자꾸 생각이 나.,0,,,,
2만원 뿐이야. 어떡하지?,0,,,,
"2백 만 원 정도 주고 노트북을 샀는데, 노트북이 배송이 늦어서 걱정하고 있었어.",0,,,,
300만 원이 넘어. 비싼 것을 투자했어.,0,,,,
30분 넘게 기다렸는데 아직도 안오고 있어.,0,,,,
30분 정도 된 거 같애. 이게바로 코리안타임인가?,0,,,,
3개월 된 강아지를 길에 버리더라고!,0,,,,
3년 동안 그렇게 잘 해주더니 다 연기였나봐.,0,,,,
3년 조금 넘었어. 함께 한 시간이 너무 아깝다.,0,,,,
3년동안 사겼는데 권태기인 것 같아서 헤어지자고 했다? 근데 진짜 헤어지자는 거야.,0,,,,
500만 원 주는 이벤트였는데 당첨 됐어!,0,,,,
5분만 더 기다리고 안 오면 그냥 갈려고. 그리곤 다신 안 만날거야!,0,,,,
5일 이상은 드시는 것 같애. 정말 답답해!,0,,,,
9층에서 멈추고 이제 불도 꺼졌어. 어떡하지?,0,,,,
가 아픈 것 같아.,0,,,,
가격이 처음 샀을 때보다 많이 빠졌어.,0,,,,
가고 싶은 회사가 이제 안 남았어. 내년까지 기다려야 돼.,0,,,,
가까이 가서 못 봤는데 그런 건 아닌 것 같앴는데.,0,,,,
가끔 산책 가야겠다.,0,,,,
가끔씩 10분 20분 이렇게 늦긴 했었는데 이렇게 한시간동안 늦은 적은 없었어. 그래도 약속은 잘 안지키는 편이야.,0,,,,
가는 거 나쁘지 않지. 그냥 평범해.,0,,,,
가는파 잡채 어떻게 만들어야 맛있어?,1,,,,
가는파잡채 황금레시피 공유해줄래?,1,,,,
가뜩이나 나한테만 일 시키는게 수상한데 다른 얘기 돌까봐 회사에서는 얘기 못 하지.,0,,,,
가래떡꼬치 만드는 방법 좀 가르쳐줄래?,1,,,,
가리비구이 맛있게 만드는 방법 알려줄래?,1,,,,
가보니까 뭐 상황이 다 끝났는지 사람들만 모여있고 무슨 일인지는 모르겠더라.,0,,,,
가서 따져 물어볼까?,0,,,,
가족들 모두 포기야. 아무리 얘기를 해도 듣질 않으셔.,0,,,,
가족들도 어제 저녁에 정말 다 놀랬어. 그리고 지금은 많이 슬퍼하시지.,0,,,,
가족들도 지금 너무 화가 나 있어.,0,,,,
"가족들이 말려도 그 날뿐이고, 결국에는 또 술 드시고 들어오셔.",0,,,,
